"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.11.2024","42,62","41,75","42,98","41,75","16,84M","2,08%"
"28.11.2024","41,75","42,27","42,77","41,62","5,20M","-1,67%"
"27.11.2024","42,46","42,61","42,88","42,22","7,84M","-0,33%"
"26.11.2024","42,60","42,97","43,10","42,47","7,27M","-0,51%"
"25.11.2024","42,82","43,12","43,69","42,65","13,02M","-0,97%"
"22.11.2024","43,24","41,87","43,78","41,77","19,30M","5,23%"
"21.11.2024","41,09","41,13","41,53","40,77","9,89M","0,17%"
"19.11.2024","41,02","41,43","41,70","40,88","5,13M","-1,28%"
"18.11.2024","41,55","40,51","41,63","40,50","10,09M","2,57%"
"14.11.2024","40,51","39,82","40,67","39,82","9,51M","1,45%"
"13.11.2024","39,93","39,56","40,14","39,26","10,35M","1,04%"
"12.11.2024","39,52","39,15","39,88","39,12","8,01M","0,97%"
"11.11.2024","39,14","38,80","39,28","38,60","6,03M","0,15%"
"08.11.2024","39,08","38,50","39,33","38,46","13,21M","1,82%"
"07.11.2024","38,38","38,01","38,82","38,00","11,43M","0,71%"
"06.11.2024","38,11","37,83","38,24","37,62","7,66M","-0,10%"
"05.11.2024","38,15","38,35","38,46","37,74","7,77M","-0,50%"
"04.11.2024","38,34","38,80","38,92","38,23","6,14M","0,10%"
"01.11.2024","38,30","39,24","39,31","38,25","8,78M","-1,95%"
"31.10.2024","39,06","38,85","39,12","38,61","11,10M","0,46%"
"30.10.2024","38,88","39,31","39,58","38,85","7,55M","-0,87%"
"29.10.2024","39,22","39,52","39,60","39,11","4,78M","-0,25%"
"28.10.2024","39,32","38,68","39,38","38,47","5,79M","-0,20%"
"25.10.2024","39,40","39,01","39,62","38,99","7,83M","1,00%"
"24.10.2024","39,01","39,00","39,12","38,72","7,26M","0,33%"
"23.10.2024","38,88","39,13","39,37","38,81","5,05M","-1,42%"
"22.10.2024","39,44","39,55","39,86","39,32","5,60M","-0,48%"
"21.10.2024","39,63","40,74","40,74","39,63","5,82M","-1,83%"
"18.10.2024","40,37","40,70","40,79","40,09","5,80M","-0,54%"
"17.10.2024","40,59","40,58","40,69","40,36","5,13M","-0,47%"
"16.10.2024","40,78","41,05","41,25","40,73","18,67M","-0,29%"
"15.10.2024","40,90","40,87","41,08","40,62","6,83M","-1,14%"
"14.10.2024","41,37","41,24","41,60","41,13","5,50M","-0,17%"
"11.10.2024","41,44","41,39","41,55","41,22","4,51M","-0,17%"
"10.10.2024","41,51","41,15","41,63","41,15","5,12M","1,67%"
"09.10.2024","40,83","40,95","41,10","40,67","7,45M","-0,78%"
"08.10.2024","41,15","41,35","41,54","40,75","7,57M","-2,16%"
"07.10.2024","42,06","41,60","42,06","41,40","7,00M","1,69%"
"04.10.2024","41,36","41,45","41,58","41,06","5,83M","0,05%"
"03.10.2024","41,34","40,65","41,49","40,49","8,53M","1,35%"
"02.10.2024","40,79","40,91","41,36","40,62","6,22M","1,17%"
