"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"02.12.2024","6.047,15","6.040,11","6.053,58","6.035,33","0,00K","0,24%"
"29.11.2024","6.032,38","6.003,98","6.044,17","6.003,98","0,00K","0,56%"
"27.11.2024","5.998,74","6.014,11","6.020,16","5.984,87","0,00K","-0,38%"
"26.11.2024","6.021,63","6.000,03","6.025,42","5.992,27","0,00K","0,57%"
"25.11.2024","5.987,37","5.992,28","6.020,75","5.963,91","0,00K","0,30%"
"22.11.2024","5.969,34","5.944,36","5.972,90","5.944,36","0,00K","0,35%"
"21.11.2024","5.948,71","5.940,58","5.963,32","5.887,26","0,00K","0,53%"
"20.11.2024","5.917,11","5.914,34","5.920,67","5.860,56","0,00K","0,00%"
"19.11.2024","5.916,98","5.870,05","5.923,51","5.855,29","0,00K","0,40%"
"18.11.2024","5.893,62","5.874,17","5.908,12","5.865,95","0,00K","0,39%"
"15.11.2024","5.870,62","5.912,79","5.915,32","5.853,01","","-1,32%"
"14.11.2024","5.949,17","5.989,68","5.993,88","5.942,28","","-0,60%"
"13.11.2024","5.985,38","5.985,75","6.008,19","5.965,91","","0,02%"
"12.11.2024","5.983,99","6.003,60","6.009,92","5.960,08","","-0,29%"
"11.11.2024","6.001,35","6.008,86","6.017,31","5.986,69","","0,10%"
"08.11.2024","5.995,54","5.976,76","6.012,45","5.976,76","","0,38%"
"07.11.2024","5.973,10","5.947,21","5.983,84","5.947,21","","0,74%"
"06.11.2024","5.929,04","5.864,89","5.936,14","5.864,89","","2,53%"
"05.11.2024","5.782,76","5.722,43","5.783,44","5.722,10","","1,23%"
"04.11.2024","5.712,69","5.725,15","5.741,43","5.696,51","","-0,28%"
